country,iso3,region,source_type,year,prophet_forecast_mw_x,lr_forecast_mw,prophet_forecast_mw_y,sarima_forecast_mw,xgb_forecast_mw,lgbm_forecast_mw,hybrid_forecast_mw,ensemble_forecast_mw,recommended_forecast_mw,best_model
Australia,AUS,Oceania,Biomass,2025,909.6006667111357,955.0,909.6006667111357,955.0,1037.0909042358398,1779.0441661635512,955.0,1065.421709067338,1065.421709067338,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Australia,AUS,Oceania,Biomass,2026,916.6842067084393,955.0,916.6842067084393,955.0,1103.9672012329102,1902.974705102167,955.0,1128.5080058071228,1128.5080058071228,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Australia,AUS,Oceania,Biomass,2027,923.8079673587716,955.0,923.8079673587716,955.0,1146.7025146484375,1902.974705102167,955.0,1163.7388819911341,1163.7388819911341,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Australia,AUS,Oceania,Biomass,2028,930.971944623938,955.0,930.971944623938,955.0,1178.8542366027832,1962.8562848888787,955.0,1194.0877760193027,1194.0877760193027,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Australia,AUS,Oceania,Biomass,2029,938.1959232235632,955.0,938.1959232235632,955.0,1211.004280090332,1962.8562848888787,961.0928174267824,1220.5921844556492,1220.5921844556492,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Australia,AUS,Oceania,Hydro,2025,7851.161647064339,8064.58,7851.161647064339,8064.58,8185.446470336914,8418.203032261474,8064.58,8064.58,8064.58,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Australia,AUS,Oceania,Hydro,2026,7881.011353236383,8064.58,7881.011353236383,8064.58,8344.088911132812,8733.351413331979,8064.58,8121.7617561788165,8121.7617561788165,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Australia,AUS,Oceania,Hydro,2027,7910.856025156429,8064.58,7910.856025156429,8064.58,8535.831953125,9022.53772649354,8064.58,8242.934892944899,8242.934892944899,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Australia,AUS,Oceania,Hydro,2028,7940.694769654515,8064.58,7940.694769654515,8064.58,8708.525068359375,9263.759580916892,8064.58,8352.120529312419,8352.120529312419,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Australia,AUS,Oceania,Hydro,2029,7970.6084153853135,8064.58,7970.6084153853135,8064.58,8973.857740478516,9581.562689898301,8064.58,8518.788949973934,8518.788949973934,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Australia,AUS,Oceania,Solar,2025,47880.60601011741,35864.94,47880.60601011741,35864.94,41064.813046875,39990.80711309684,47417.05353586858,39990.80711317969,39990.80711317969,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Australia,AUS,Oceania,Solar,2026,53473.717476340484,35864.94,53473.717476340484,37289.58492309255,44642.12408203125,43261.42524950874,53010.16500209166,43261.42524986352,43261.42524986352,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Australia,AUS,Oceania,Solar,2027,58421.13816705004,39197.75242642643,58421.13816705004,38686.248739674316,47223.10796875,47358.66099726253,57957.585692801214,47358.660997492705,47358.660997492705,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
