source_type,model,MAE,RMSE,MAPE,SMAPE
Solar,LR,10907.74,47933.85,25.29,31.52
Solar,Prophet,8284.32,22044.53,29.61,28.01
Solar,XGB,10099.3,53981.89,41.87,22.34
Solar,LGBM,10726.36,55923.84,22.28,19.11
Solar,Hybrid,7975.59,21706.16,30.95,30.26
Solar,SARIMA,8.554662973483182e+21,1.0301175550796503e+23,4.5829501021528375e+19,47.97
Wind,LR,5004.53,19165.55,17.51,22.21
Wind,Prophet,5837.41,22448.1,19.78,24.21
Wind,XGB,5154.66,24396.12,14.27,14.64
Wind,LGBM,5242.04,23859.33,13.63,13.38
Wind,Hybrid,6194.73,23116.83,21.24,26.17
Wind,SARIMA,5402.58,18907.74,25.35,28.29
Hydro,LR,1399.97,4554.13,3.56,3.5
Hydro,Prophet,2417.85,9879.98,3.64,3.57
Hydro,XGB,928.96,2740.12,2.88,2.86
Hydro,LGBM,786.5,1743.07,8.6,6.82
Hydro,Hybrid,2206.73,8635.49,9.01,12.57
Hydro,SARIMA,1432.34,4497.07,3.24,3.3
Biomass,LR,706.76,1426.06,21.18,21.73
Biomass,Prophet,857.81,1788.25,36.91,27.42
Biomass,XGB,510.18,1043.69,15.63,15.29
Biomass,LGBM,733.56,1491.05,50.33,29.03
Biomass,Hybrid,932.8,1954.89,35.32,33.66
Biomass,SARIMA,920.64,2582.87,30.82,23.26
